댓글 ID,채널 ID,댓글 생성 타임스탬프,가격,상위 댓글 ID,게시물 ID,동영상 ID,댓글 텍스트,최상위 댓글 ID
UgwypUsDlvtiWCll4fV4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2019-01-16T08:44:30.687774+00:00,0,,,1h2xpOOi61I,"{""text"":""하나도 초췌하지않으십니다. 엄청귀엽고 아름다우시네요""}",
UgwWm7JxNtdBa7oeJG94AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2019-01-13T09:30:21.35208+00:00,0,,,I3jpkXOyP2U,"{""text"":""3:09"",""videoLink"":{""externalVideoId"":""I3jpkXOyP2U"",""startTimeSeconds"":189}},{""text"":""'은빈님 표정""}",
UgzkjUbUlng-PQPTUQ14AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2019-01-12T11:26:55.044555+00:00,0,,,UtCIYjsh0pI,"{""text"":""은빈:'이러다 치이는거지' ""},{""text"":""5:07"",""videoLink"":{""externalVideoId"":""UtCIYjsh0pI"",""startTimeSeconds"":307}},{""text"":"" , '은빈아' ""},{""text"":""6:38"",""videoLink"":{""externalVideoId"":""UtCIYjsh0pI"",""startTimeSeconds"":398}},{""text"":"" ,""}",
UgyHitoCqH-B9-2NDl54AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2019-01-12T11:12:17.165377+00:00,0,,,39LZ4PXJNhA,"{""text"":""은빈 ""},{""text"":""1:42"",""videoLink"":{""externalVideoId"":""39LZ4PXJNhA"",""startTimeSeconds"":102}},{""text"":"",""},{""text"":""4:10"",""videoLink"":{""externalVideoId"":""39LZ4PXJNhA"",""startTimeSeconds"":250}},{""text"":""'나죽일려고 한거야'""}",
UgwUdvn8H_1EWk6MAcx4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2019-01-10T12:17:38.307786+00:00,0,,,LXXj5lAOtZs,"{""text"":""은빈 엔딩 ""},{""text"":""3:57"",""videoLink"":{""externalVideoId"":""LXXj5lAOtZs"",""startTimeSeconds"":237}}",
UgzZ2MfwQ53Om9M2j1t4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2019-01-08T10:43:25.876788+00:00,0,,,uuOKBSYW5_M,"{""text"":""'Doge'닷지가 롤에서 게임잡혔을때 튀는거 말하는 겁니다""}",
UgwSjr1SN_NqIfC6zbZ4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2019-01-07T13:36:20.28473+00:00,0,,,T_XsdLD7WkQ,"{""text"":""짧은머리가 취향이므로 짧은머리가 좋습니다""}",
Ugx1Pgs9yy20BfdJBBN4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2019-01-05T15:32:10.160336+00:00,0,,,lwjGgQ3FL8c,"{""text"":""페어리하트 확률보고 하는 것이 맞다고 생각합니다""}",
UgyDW5BHbUDOnNTHwKF4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2018-11-04T15:37:28.3181+00:00,0,,,bswmIEk5qUQ,"{""text"":""체력은 왜다는건지 설명좀""}",
Ugx2eXNH7moklY9XTlp4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2018-10-24T11:33:02.67587+00:00,0,,,dqJ1phQWeKg,"{""text"":""보스들은 솔플도 가능하고 3시간만에  30렙도 가능한데""}",
UgyFDU5HY7jCNgB7jHF4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2018-08-22T13:13:43.550786+00:00,0,,,Z3GmPT2SvNQ,"{""text"":""잭후르츠 얼려먹으면 괜찮은데""}",
Ugyjck8XVoLSxkkB9st4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2018-08-22T02:56:32.863963+00:00,0,,,kCN6Seuz5ys,"{""text"":""지황님의 말은 스떡스떡에서 실현되었다""}",
UgwL6fZO4tbYRmfM-o94AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2018-08-22T02:04:37.771332+00:00,0,,,GSgDmzRRQac,"{""text"":""1:37"",""videoLink"":{""externalVideoId"":""GSgDmzRRQac"",""startTimeSeconds"":97}}",
Ugy23Gzqposj7D_dY6R4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2018-08-22T01:09:54.221468+00:00,0,,,ouG-tKvkI18,"{""text"":""혜지님 \""엑!\""""},{""text"":""0:42"",""videoLink"":{""externalVideoId"":""ouG-tKvkI18"",""startTimeSeconds"":42}}",
UgzDB9GVZJcSNLAc0Oh4AaABAg.8iU1t3z00uR8kDCaz8EEhK,UCuGz8hZspvz_sC0P4DLUL8Q,2018-08-21T15:04:25.357767+00:00,0,UgzDB9GVZJcSNLAc0Oh4AaABAg,,_BVRGgCR5V8,"{""text"":""생강빼고는 전혀...""}",UgzDB9GVZJcSNLAc0Oh4AaABAg
