댓글 ID,채널 ID,댓글 생성 타임스탬프,가격,상위 댓글 ID,게시물 ID,동영상 ID,댓글 텍스트,최상위 댓글 ID
UgzEs4fHX-dPOioMRW14AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-07-18T09:57:37.846081+00:00,0,,,xM8zLQr5yCk,"{""text"":""ㅋㅋ ㄹㅈㄷ ""},{""text"":""\n""},{""text"":""아~ 잘보고 갑니다""}",
UgzOpF_4UBLJ8ZEbZX54AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-07-10T13:16:42.617501+00:00,0,,Ugw8SyiZ-lg9BPfXFvt4AaABCQ,,"{""text"":""쿠킹덤""}",
Ugxj-BM5WNUu7ETuJhN4AaABAg.9Mcz9I8hkx79OovLgEdhrA,UCuGz8hZspvz_sC0P4DLUL8Q,2021-06-20T17:22:27.259909+00:00,0,Ugxj-BM5WNUu7ETuJhN4AaABAg,,ZEA1nVguaI4,"{""text"":""he was a car""}",Ugxj-BM5WNUu7ETuJhN4AaABAg
UgxHfoLS-JmuVJAQ_oF4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-06-20T13:10:13.509922+00:00,0,,UgwfNMGEKQw4bOubCCB4AaABCQ,,"{""text"":""티어는 다 채웠으나 그 레디어나이트주는 에피소드?를 못채움""}",
UgzVetPGBpZ0DxSDXJx4AaABAg.9OhKyD4pAPR9OkrL2m2O_e,UCuGz8hZspvz_sC0P4DLUL8Q,2021-06-19T03:30:27.246078+00:00,0,UgzVetPGBpZ0DxSDXJx4AaABAg,,nZflgBz0Ugk,"{""text"":""ㅋㅋㅋㅋㅋㅋ""}",UgzVetPGBpZ0DxSDXJx4AaABAg
UgyQDBT9cuuD_sVllpx4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-06-16T16:06:28.941732+00:00,0,,UgyDuNG7jK8iztkdOnt4AaABCQ,,"{""text"":""성비 통계 나오잖아요""}",
UgyT5-jFzoJjVVr4UD14AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-06-16T15:54:39.514974+00:00,0,,Ugwdu_BCWxnfBfR0GIB4AaABCQ,,"{""text"":""답이 정해져 있짆아;;""}",
UgwVEWw6cIPyWIt2Rch4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-05-28T11:38:57.851797+00:00,0,,UgwYN2MyCHVYJ3O3EU94AaABCQ,,"{""text"":""gta5""}",
UgwPt9ZOl-o_B95UlbJ4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-05-24T16:42:46.96777+00:00,0,,,fURPc1F0nZ8,"{""text"":""9:15"",""videoLink"":{""externalVideoId"":""fURPc1F0nZ8"",""startTimeSeconds"":555}},{""text"":"" 뜬금 격투기선수;;""}",
Ugx6mbcUh8vrdDxLk4R4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-05-24T14:51:55.763471+00:00,0,,,CFVI6XjM6Wc,"{""text"":""kuronai_mimu""},{""text"":""\n""},{""text"":""kuronai_matuge""}",
UgxWQd9KiPv1oBJdSp14AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-05-21T09:27:51.892154+00:00,0,,UgwX8RcFHPJed4E3iRJ4AaABCQ,,"{""text"":""gta5리마스터""}",
UgyifaXl9QU9TM8smCp4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-05-17T14:54:35.216911+00:00,0,,,GL1BvPEWois,"{""text"":""아이즈원 피에스타가 좋긴하제..""}",
UgzrfpepzEARCrxXwHt4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-05-16T13:48:25.109048+00:00,0,,,01i5lNDg4Ik,"{""text"":""2-√13×(3*3*3)= 2-27√13""}",
UgyA8H78gEnpHy60lXF4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-05-13T16:46:07.291641+00:00,0,,,rpbKBXI193Y,"{""text"":""승우아빠가 37대손이라고요? 우리족보가 잘못됬나?""}",
UgwrZy6uZHMhEQPQz9R4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-05-13T16:36:46.419098+00:00,0,,UgxLvhILeoJzvOV779d4AaABCQ,,"{""text"":""오늘 학교에서 키랑 몸무게 쟀더니 180cm에 82나옴""}",
Ugy5PSiEBv8EXeDn-P54AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-05-01T14:28:15.044768+00:00,0,,,bTaPYguCJ0w,"{""text"":""다음은 나인가...""}",
Ugw-ChS6I63VhBToTCB4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-04-25T13:56:18.148234+00:00,0,,,VypyQlFzcQw,"{""text"":""광고로 워십과 월탱은 의도한겁니까?""}",
UgzCOsI3Bh2FQfK1LyR4AaABAg.9MKc5UFE0ej9MLCnYZP7gs,UCuGz8hZspvz_sC0P4DLUL8Q,2021-04-20T02:04:26.151421+00:00,0,UgzCOsI3Bh2FQfK1LyR4AaABAg,,qEhzc0QeBLA,"{""text"":""와 찐이신가;;""}",UgzCOsI3Bh2FQfK1LyR4AaABAg
UgwE_2jvPp5LU3TUXGx4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-04-18T13:53:53.843019+00:00,0,,,qEhzc0QeBLA,"{""text"":""01:05"",""videoLink"":{""externalVideoId"":""qEhzc0QeBLA"",""startTimeSeconds"":65}},{""text"":"" 와! 편집 너무 잘하는데? 브금타이밍 예술이고 본인임 고정좀!""}",
Ugwipnol4c2HmlrR31N4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-04-17T13:49:11.161344+00:00,0,,,ER_cRVHQFF4,"{""text"":""아 썸네일 담배든줄...""}",
UgxGubQTXr5nYkoyN9h4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-04-13T08:57:27.135178+00:00,0,,,4cCWJL5Sty4,"{""text"":""17:36"",""videoLink"":{""externalVideoId"":""4cCWJL5Sty4"",""startTimeSeconds"":1056}},{""text"":"" 이인수님 아니신가요? ""},{""text"":""\n""},{""text"":""프듀출신;;""}",
